Median_of_median_time,Quick_sort_time,
1.77178,0.158976,
1.77242,0.159488,
1.28038,0.161408,
1.64032,0.161664,
0.814848,0.159232,
2.5193,0.159232,
1.8592,0.158336,
2.06029,0.159104,
1.27053,0.159488,
1.49261,0.158592,
1.6265,0.158464,
1.72493,0.159232,
2.192,0.158848,
1.43514,0.158464,
1.56147,0.16576,
1.19053,0.158976,
1.89978,0.158336,
0.878336,0.159616,
2.00678,0.159104,
1.99411,0.158848,
1.51437,0.161664,
2.08806,0.158464,
1.70266,0.158976,
2.70976,0.158336,
1.56928,0.16128,
2.33075,0.158592,
1.95315,0.161792,
1.25824,0.160128,
1.47674,0.159488,
1.9657,0.159232,
1.8432,0.157952,
2.82086,0.158592,
1.16672,0.161792,
1.2608,0.15936,
0.922112,0.166144,
1.73862,0.15936,
0.735104,0.15936,
1.04755,0.162304,
1.56685,0.15872,
3.14688,0.158848,
2.50163,0.160512,
2.29478,0.160256,
1.1529,0.166656,
1.30419,0.160128,
2.7913,0.15872,
2.55386,0.158208,
2.11955,0.159872,
1.79136,0.159104,
1.28819,0.158976,
1.70522,0.161152,
1.64582,0.16192,
1.65709,0.159616,
2.80038,0.159232,
1.32582,0.15872,
1.63123,0.159872,
1.2247,0.158464,
1.81619,0.166784,
1.11168,0.158464,
2.82739,0.158848,
0.925824,0.158464,
1.93011,0.159616,
1.76,0.166912,
2.10765,0.158464,
1.86138,0.159232,
1.59706,0.159488,
1.74093,0.158976,
1.32749,0.157952,
1.52256,0.159104,
1.57222,0.161408,
1.66656,0.158848,
3.4121,0.160512,
1.5735,0.158464,
1.85459,0.157824,
1.94675,0.158464,
2.31066,0.158464,
0.921984,0.159872,
1.3737,0.160512,
0.766464,0.158848,
1.78957,0.158208,
1.26874,0.163456,
1.49914,0.15872,
1.02272,0.160128,
1.23034,0.159232,
1.33389,0.159232,
1.71878,0.159616,
1.77152,0.15808,
2.03443,0.163584,
1.03104,0.158848,
1.51002,0.158976,
2.4375,0.158464,
2.43763,0.159616,
3.1881,0.158464,
1.80403,0.158592,
1.48531,0.166528,
2.10867,0.15936,
1.27386,0.15872,
1.72314,0.159616,
1.01734,0.157696,
1.04,0.158464,
1.62957,0.160128,
1.83245,0.158208,
1.50976,0.15872,
1.21843,0.158464,
1.7536,0.167168,
1.12397,0.158336,
2.01754,0.159616,
1.21344,0.158592,
1.46022,0.158592,
1.64467,0.166272,
1.86214,0.161408,
2.43597,0.15872,
1.34848,0.159104,
1.37408,0.158464,
1.9328,0.158976,
1.57043,0.159104,
1.80518,0.158336,
2.30938,0.158464,
1.83475,0.159616,
1.90797,0.159232,
1.59078,0.16128,
1.46496,0.158592,
1.87251,0.15936,
2.06758,0.15808,
2.19136,0.158208,
3.2649,0.161152,
1.99347,0.158848,
1.55238,0.159104,
1.25312,0.159616,
1.02643,0.159488,
1.71008,0.15872,
1.52794,0.157952,
1.62112,0.162176,
1.65171,0.158848,
1.21114,0.158208,
1.11936,0.159616,
1.40992,0.15936,
1.14893,0.158976,
1.66464,0.166144,
1.23174,0.159488,
2.15757,0.159232,
1.69126,0.158336,
2.19597,0.158976,
2.53018,0.15936,
1.42618,0.15872,
1.28243,0.158592,
2.24179,0.159616,
1.30701,0.159232,
1.00582,0.15936,
2.57318,0.158848,
0.909184,0.166528,
1.36346,0.158592,
1.76205,0.166528,
1.95174,0.158592,
1.29882,0.159616,
1.68704,0.158848,
1.4185,0.157184,
1.69805,0.15872,
1.30458,0.158464,
1.46099,0.158592,
2.46566,0.15872,
1.86803,0.157824,
1.69446,0.15872,
1.63354,0.15872,
1.42438,0.158592,
